question,strongly disagree,disagree,rather disagree,don't know,rather agree,agree,strongly agree
Most published science in my field is reproducible,8,29,24,2,24,11,3
Reproducibility is a major problem in my field,4,15,20,2,16,29,15
A lack of reproducibility is jepoardizing the trust in our results,6,13,20,2,24,27,10
My own scientific work is reproducible,1,6,11,2,27,38,15
